None,content_type,title,director,cast,country,date_added,release_year,rating,duration,genres,description,date_added_formatted
s1,Movie,dick johnson is dead,kirsten johnson,none,usa,2021-09-25,2020,pg-13,1h 30m,documentaries,"As her father nears the end of his life, filmmaker Kirsten Johnson stages his death in inventive and comical ways to help them both face the inevitable.",25-09-2021
s2,TV Show,blood & water,none,"ama qamata, khosi ngema, gail mabalane, thabang molaba, dillon windvogel, natasha thahane, arno greeff, xolile tshabalala, getmore sithole, cindy mahlangu, ryle de morny, greteli fincham, sello maake ka-ncube, odwa gwanya, mekaila mathys, sandi schultz, duane williams, shamilla miller, patrick mofokeng",south africa,2021-09-24,2021,tv-ma,2 Seasons,"international tv shows, tv dramas, tv mysteries","After crossing paths at a party, a Cape Town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth.",24-09-2021
s3,TV Show,ganglands,julien leclercq,"sami bouajila, tracy gotoas, samuel jouy, nabiha akkari, sofia lesaffre, salim kechiouche, noureddine farihi, geert van rampelberg, bakary diombera",none,2021-09-24,2021,tv-ma,1 Season,"crime tv shows, international tv shows, tv action & adventure","To protect his family from a powerful drug lord, skilled thief Mehdi and his expert team of robbers are pulled into a violent and deadly turf war.",24-09-2021
s4,TV Show,jailbirds new orleans,none,none,none,2021-09-24,2021,tv-ma,1 Season,"docuseries, reality tv","Feuds, flirtations and toilet talk go down among the incarcerated women at the Orleans Justice Center in New Orleans on this gritty reality series.",24-09-2021
s5,TV Show,kota factory,none,"mayur more, jitendra kumar, ranjan raj, alam khan, ahsaas channa, revathi pillai, urvi singh, arun kumar",india,2021-09-24,2021,tv-ma,2 Seasons,"international tv shows, romantic tv shows, tv comedies","In a city of coaching centers known to train India’s finest collegiate minds, an earnest but unexceptional student and his friends navigate campus life.",24-09-2021
s6,TV Show,midnight mass,mike flanagan,"kate siegel, zach gilford, hamish linklater, henry thomas, kristin lehman, samantha sloyan, igby rigney, rahul kohli, annarah cymone, annabeth gish, alex essoe, rahul abburi, matt biedel, michael trucco, crystal balint, louis oliver",none,2021-09-24,2021,tv-ma,1 Season,"tv dramas, tv horror, tv mysteries","The arrival of a charismatic young priest brings glorious miracles, ominous mysteries and renewed religious fervor to a dying town desperate to believe.",24-09-2021
s7,Movie,my little pony: a new generation,"robert cullen, josé luis ucha","vanessa hudgens, kimiko glenn, james marsden, sofia carson, liza koshy, ken jeong, elizabeth perkins, jane krakowski, michael mckean, phil lamarr",none,2021-09-24,2021,pg,1h 31m,children & family movies,"Equestria's divided. But a bright-eyed hero believes Earth Ponies, Pegasi and Unicorns should be pals — and, hoof to heart, she’s determined to prove it.",24-09-2021
s8,Movie,sankofa,haile gerima,"kofi ghanaba, oyafunmike ogunlano, alexandra duah, nick medley, mutabaruka, afemo omilami, reggie carter, mzuri","usa, ghana, burkina faso, uk, germany, ethiopia",2021-09-24,1993,tv-ma,2h 5m,"dramas, independent movies, international movies","On a photo shoot in Ghana, an American model slips back in time, becomes enslaved on a plantation and bears witness to the agony of her ancestral past.",24-09-2021
s9,TV Show,the great british baking show,andy devonshire,"mel giedroyc, sue perkins, mary berry, paul hollywood",uk,2021-09-24,2021,tv-14,9 Seasons,"british tv shows, reality tv","A talented batch of amateur bakers face off in a 10-week competition, whipping up their best dishes in the hopes of being named the U.K.'s best.",24-09-2021
s10,Movie,the starling,theodore melfi,"melissa mccarthy, chris o'dowd, kevin kline, timothy olyphant, daveed diggs, skyler gisondo, laura harrier, rosalind chao, kimberly quinn, loretta devine, ravi kapoor",usa,2021-09-24,2021,pg-13,1h 44m,"comedies, dramas",A woman adjusting to life after a loss contends with a feisty bird that's taken over her garden — and a husband who's struggling to find a way forward.,24-09-2021
s11,TV Show,"vendetta: truth, lies and the mafia",none,none,none,2021-09-24,2021,tv-ma,1 Season,"crime tv shows, docuseries, international tv shows","Sicily boasts a bold ""Anti-Mafia"" coalition. But what happens when those trying to bring down organized crime are accused of being criminals themselves?",24-09-2021
s12,TV Show,bangkok breaking,kongkiat komesiri,"sukollawat kanarot, sushar manaying, pavarit mongkolpisit, sahajak boonthanakit, suthipongse thatphithakkul, bhasaworn bawronkirati, daweerit chullasapya, waratthaya wongchayaporn, kittiphoom wongpentak, abhicha thanachanun, nophand boonyai, kittipong khamsat, arisara wongchalee, jaytiya naiwattanakul, pantipa arunwattanachai, panupan jantanawong, kungtap saelim, phumphat chartsuriyakiat, issara veranitinunt, keerati sivakuae, panjai sirisuwan, supranee charoenpol, suda chuenban, visaka banhansupavat, pitchatorn santinatornkul",none,2021-09-23,2021,tv-ma,1 Season,"crime tv shows, international tv shows, tv action & adventure","Struggling to earn a living in Bangkok, a man joins an emergency rescue service and realizes he must unravel a citywide conspiracy.",23-09-2021
s13,Movie,je suis karl,christian schwochow,"luna wedler, jannis niewöhner, milan peschel, edin hasanović, anna fialová, marlon boess, victor boccard, fleur geffrier, aziz dyab, mélanie fouché, elizaveta maximová","germany, czech republic",2021-09-23,2021,tv-ma,2h 7m,"dramas, international movies","After most of her family is murdered in a terrorist bombing, a young woman is unknowingly lured into joining the very group that killed them.",23-09-2021
,Movie,confessions of an invisible girl,bruno garotti,"klara castanho, lucca picon, júlia gomes, marcus bessa, kiria malheiros, fernanda concon, gabriel lima, caio cabral, leonardo cidade, jade cardozo",none,2021-09-22,2021,tv-pg,1h 31m,"children & family movies, comedies","When the clever but socially-awkward Tetê joins a new school, she'll do anything to fit in. But the queen bee among her classmates has other ideas.",22-09-2021
s15,TV Show,crime stories: india detectives,none,none,none,2021-09-22,2021,tv-ma,1 Season,"british tv shows, crime tv shows, docuseries",Cameras following Bengaluru police on the job offer a rare glimpse into the complex and challenging inner workings of four major crime investigations.,22-09-2021
s16,TV Show,dear white people,none,"logan browning, brandon p. bell, deron horton, antoinette robertson, john patrick amedori, ashley blaine featherson, marque richardson, giancarlo esposito",usa,2021-09-22,2021,tv-ma,4 Seasons,"tv comedies, tv dramas","Students of color navigate the daily slights and slippery politics of life at an Ivy League college that's not nearly as ""post-racial"" as it thinks.",22-09-2021
s17,Movie,europe's most dangerous man: otto skorzeny in spain,"pedro de echave garcía, pablo azorín williams",none,none,2021-09-22,2020,tv-ma,1h 7m,"documentaries, international movies","Declassified documents reveal the post-WWII life of Otto Skorzeny, a close Hitler ally who escaped to Spain and became an adviser to world presidents.",22-09-2021
s18,TV Show,falsa identidad,none,"luis ernesto franco, camila sodi, sergio goyri, samadhi zendejas, eduardo yáñez, sonya smith, alejandro camacho, azela robinson, uriel del toro, géraldine bazán, gabriela roel, marcus ornellas",mexico,2021-09-22,2020,tv-ma,2 Seasons,"crime tv shows, spanish-language tv shows, tv dramas",Strangers Diego and Isabel flee their home in Mexico and pretend to be a married couple to escape his drug-dealing enemies and her abusive husband.,22-09-2021
s19,Movie,intrusion,adam salky,"freida pinto, logan marshall-green, robert john burke, megan elisabeth kelly, sarah minnich, hayes hargrove, mark sivertsen, brandon fierro, antonio valles, clint obenchain",none,2021-09-22,2021,tv-14,1h 34m,thrillers,"After a deadly home invasion at a couple’s new dream house, the traumatized wife searches for answers — and learns the real danger is just beginning.",22-09-2021
s20,TV Show,jaguar,none,"blanca suárez, iván marcos, óscar casas, adrián lastra, francesc garrido, stefan weinert, julia möller, alicia chojnowski",none,2021-09-22,2021,tv-ma,1 Season,"international tv shows, spanish-language tv shows, tv action & adventure","In the 1960s, a Holocaust survivor joins a group of self-trained spies who seek justice against Nazis fleeing to Spain to hide after WWII.",22-09-2021
s21,TV Show,monsters inside: the 24 faces of billy milligan,olivier megaton,none,none,2021-09-22,2021,tv-14,1 Season,"crime tv shows, docuseries, international tv shows","In the late 1970s, an accused serial rapist claims multiple personalities control his behavior, setting off a legal odyssey that captivates America.",22-09-2021
s22,TV Show,resurrection: ertugrul,none,"engin altan düzyatan, serdar gökhan, hülya darcan, kaan taşaner, esra bilgiç, osman soykut, serdar deniz, cengiz coşkun, reshad strik, hande subaşı",turkey,2021-09-22,2018,tv-14,5 Seasons,"international tv shows, tv action & adventure, tv dramas","When a good deed unwittingly endangers his clan, a 13th-century Turkish warrior agrees to fight a sultan's enemies in exchange for new tribal land.",22-09-2021
s23,Movie,avvai shanmughi,k.s. ravikumar,"kamal hassan, meena, gemini ganesan, heera rajgopal, nassar, s.p. balasubrahmanyam",none,2021-09-21,1996,tv-pg,2h 41m,"comedies, international movies","Newly divorced and denied visitation rights with his daughter, a doting father disguises himself as a gray-haired nanny in order to spend time with her.",21-09-2021
s24,Movie,go! go! cory carson: chrissy takes the wheel,"alex woo, stanley moore","maisie benson, paul killam, kerry gudjohnsen, ac lim",none,2021-09-21,2021,tv-y,1h 1m,children & family movies,"From arcade games to sled days and hiccup cures, Cory Carson’s curious little sister Chrissy speeds off on her own for fun and adventure all over town!",21-09-2021
s25,Movie,jeans,s. shankar,"prashanth, aishwarya rai bachchan, sri lakshmi, nassar",india,2021-09-21,1998,tv-14,2h 46m,"comedies, international movies, romantic movies","When the father of the man she loves insists that his twin sons marry twin sisters, a woman creates an alter ego that might be a bit too convincing.",21-09-2021
